Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),Dribble,Dribble %,Goal conversion %,Shots on target,Big chances,Key passes
Lamine Yamal,Barcelona,17,Ailier droit,35,2879,9,13,11.59,14.47,0.36,0.45,0.81,200.00,161,55.71,6.25,47,28,47
Dodi Lukebakio,Sevilla,27,Ailier droit,38,3117,11,2,9.24,5.39,0.27,0.16,0.42,20.00,84,52.83,11.7,39,9,39
Rodrygo,Real Madrid,24,Ailier droit,30,1965,6,5,4.72,4,0.22,0.18,0.4,90.00,49,51.58,11.11,20,5,20
Jorge De Frutos,Rayo Vallecano,28,Ailier droit,36,2573,6,3,07.01,4.13,0.25,0.14,0.39,4.00,32,34.04,11.54,19,8,19
Nicolas Pepe,Villarreal,30,Ailier droit,28,1483,3,6,5.28,5.5,0.32,0.33,0.65,6.00,27,48.21,7.89,17,9,17
Antony,Real Betis,25,Ailier droit,17,1372,5,2,2.78,4.68,0.18,0.31,0.49,35.00,24,42.11,11.63,17,8,17
Brahim Diaz,Real Madrid,25,Ailier droit,31,1368,4,2,6.34,3.3,0.42,0.22,0.63,40.00,24,55.81,14.29,17,4,17
Diego Lopez,Valencia,23,Ailier droit,38,2839,8,5,6.93,5.98,0.22,0.19,0.41,15.00,23,31.08,18.18,14,11,14
Carlos Vicente,Alaves,26,Ailier droit,37,3114,5,5,3.14,6.42,0.09,0.19,0.28,10.00,34,35.05,13.89,14,9,14
Adrian Embarba,Rayo Vallecano,33,Ailier droit,35,1603,1,1,2.27,2.51,0.13,0.14,0.27,1.20,20,40,2.7,12,4,12
Yaser Asprilla,Girona,21,Ailier droit,27,1392,3,1,1.98,03.06,0.13,0.20,0.33,15.00,29,53.7,7.89,11,5,11
Jofre Carreras,Espanyol,24,Ailier droit,37,2217,3,3,3.2,2.5,0.13,0.10,0.23,3.00,39,39.39,7.5,11,2,11
Ruben Garcia,Osasuna,31,Ailier droit,36,2481,5,5,2.82,05.07,0.10,0.18,0.29,2.00,12,37.5,18.52,10,10,10
Viktor Tsygankov,Girona,27,Ailier droit,27,1947,2,5,2.96,4.15,0.14,0.19,0.33,18.00,15,44.12,5.71,10,9,10
Pablo Duran,Celta Vigo,24,Ailier droit,27,1393,4,4,3.1,3.18,0.20,0.21,0.41,3.50,12,30,15.38,10,4,10
Yeremy Pino,Villarreal,22,Ailier droit,34,1984,4,7,3.98,5.79,0.18,0.26,0.44,30.00,25,50,13.79,9,10,9
