Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio)
Carlos Vicente,Alaves,26,Ailier droit,37,3114,5,5,3.14,6.42,0.09,0.19,0.28,10.00
Giuliano Simeone,Atletico Madrid,22,Ailier droit,33,1988,2,6,3,7.18,0.14,0.33,0.46,35.00
Lamine Yamal,Barcelona,17,Ailier droit,35,2879,9,13,11.59,14.47,0.36,0.45,0.81,200.00
Pablo Duran,Celta Vigo,24,Ailier droit,27,1393,4,4,3.1,3.18,0.20,0.21,0.41,3.50
Jofre Carreras,Espanyol,24,Ailier droit,37,2217,3,3,3.2,2.5,0.13,0.10,0.23,3.00
Antoniu Roca,Espanyol,22,Ailier droit,26,1023,0,1,01.06,1.2,0.09,0.11,0.2,1.80
Alex Sola,Getafe,26,Ailier droit,19,1077,0,1,01.02,1.14,0.09,0.10,0.18,2.50
Portu,Girona,33,Ailier droit,27,728,1,2,1.76,1.63,0.22,0.20,0.42,1.80
Yaser Asprilla,Girona,21,Ailier droit,27,1392,3,1,1.98,03.06,0.13,0.20,0.33,15.00
Viktor Tsygankov,Girona,27,Ailier droit,27,1947,2,5,2.96,4.15,0.14,0.19,0.33,18.00
Manu Fuster,Las Palmas,27,Ailier droit,28,958,2,1,0.75,1.39,0.07,0.13,0.2,1.50
Adnan Januzaj,Las Palmas,30,Ailier droit,18,563,2,1,0.99,1.17,0.16,0.19,0.35,1.20
Takuma Asano,Mallorca,30,Ailier droit,21,1071,2,1,2.96,0.93,0.25,0.08,0.33,2.50
Ruben Garcia,Osasuna,31,Ailier droit,36,2481,5,5,2.82,05.07,0.10,0.18,0.29,2.00
Jorge De Frutos,Rayo Vallecano,28,Ailier droit,36,2573,6,3,07.01,4.13,0.25,0.14,0.39,4.00
Adrian Embarba,Rayo Vallecano,33,Ailier droit,35,1603,1,1,2.27,2.51,0.13,0.14,0.27,1.20
Aitor Ruibal,Real Betis,29,Ailier droit,29,1287,1,3,1.27,2.65,0.09,0.19,0.27,3.50
Antony,Real Betis,25,Ailier droit,17,1372,5,2,2.78,4.68,0.18,0.31,0.49,35.00
Rodrygo,Real Madrid,24,Ailier droit,30,1965,6,5,4.72,4,0.22,0.18,0.4,90.00
Brahim Diaz,Real Madrid,25,Ailier droit,31,1368,4,2,6.34,3.3,0.42,0.22,0.63,40.00
Ivan Sanchez,Real Valladolid,32,Ailier droit,32,1365,2,1,0.67,2.89,0.04,0.19,0.23,0.60
Anuar Mohamed,Real Valladolid,30,Ailier droit,26,1748,2,0,2.26,1.19,0.12,0.06,0.18,0.90
Suso,Sevilla,31,Ailier droit,16,572,0,2,0.63,2.18,0.10,0.34,0.44,1.50
Dodi Lukebakio,Sevilla,27,Ailier droit,38,3117,11,2,9.24,5.39,0.27,0.16,0.42,20.00
Diego Lopez,Valencia,23,Ailier droit,38,2839,8,5,6.93,5.98,0.22,0.19,0.41,15.00
Ilias Akhomach,Villarreal,21,Ailier droit,11,604,1,0,0.61,1.25,0.09,0.19,0.28,15.00
Yeremy Pino,Villarreal,22,Ailier droit,34,1984,4,7,3.98,5.79,0.18,0.26,0.44,30.00
Nicolas Pepe,Villarreal,30,Ailier droit,28,1483,3,6,5.28,5.5,0.32,0.33,0.65,6.00
Takefusa Kubo,Real Sociedad,24,Ailier droit ,36,2392,5,0,4.22,5.49,0.16,0.21,0.37,30.00
Carlos Martin,Alaves,23,Ailier gauche,26,1367,2,2,2.48,2.59,0.16,0.17,0.33,2.80
Tomas Conechny,Alaves,27,Ailier gauche,22,837,1,0,3.48,0.35,0.37,0.04,0.41,1.80
Luis Rioja,"Alaves,Valencia",31,Ailier gauche,37,2898,4,3,3.95,4.48,0.12,0.14,0.26,2.00
alvaro Djalo,Athletic Club,25,Ailier gauche,17,637,1,0,0.9,01.09,0.13,0.15,0.28,5.00
Nico Williams,Athletic Club,22,Ailier gauche,29,1994,5,5,4.6,4.17,0.21,0.19,0.4,70.00
Samuel Lino,Atletico Madrid,25,Ailier gauche,31,1580,3,4,06.08,3.48,0.35,0.20,0.54,22.00
Raphinha,Barcelona,28,Ailier gauche,36,2862,18,10,19.27,13.53,0.61,0.43,01.03,90.00
Alfon Gonzalez,Celta Vigo,26,Ailier gauche,26,1382,5,2,4.9,3.2,0.32,0.21,0.53,5.00
Jonathan Bamba,Celta Vigo,29,Ailier gauche,12,823,0,1,0.66,1.87,0.07,0.20,0.28,3.50
Hugo alvarez,Celta Vigo,21,Ailier gauche,26,1572,4,3,2.69,1.6,0.15,0.09,0.25,7.50
Williot Swedberg,Celta Vigo,21,Ailier gauche,32,1329,4,5,5.42,2.35,0.37,0.16,0.53,5.00
Coba da Costa,Getafe,22,Ailier gauche,19,1003,1,1,1.43,1.63,0.13,0.15,0.27,3.00
Juanmi,"Getafe,Real Betis",32,Ailier gauche,24,914,0,0,3.69,0.84,0.36,0.08,0.45,2.00
Bryan Gil,Girona,24,Ailier gauche,25,1769,3,3,2.35,2.93,0.12,0.15,0.27,15.00
Arnaut Danjuma,"Girona,Villarreal",28,Ailier gauche,28,1562,4,0,4.42,2.28,0.25,0.13,0.39,4.00
Alberto Moleiro,Las Palmas,21,Ailier gauche,35,2765,6,1,5.75,3.68,0.19,0.12,0.31,25.00
Yan Diomande,Leganes,18,Ailier gauche,10,544,2,1,1.27,0.82,0.21,0.14,0.35,1.50
Juan Cruz,Leganes,25,Ailier gauche,34,2292,5,4,2.75,4.15,0.11,0.16,0.27,5.00
Bryan Zaragoza,Osasuna,23,Ailier gauche,27,1887,1,6,3.27,4.37,0.16,0.21,0.36,12.00
alvaro Garcia,Rayo Vallecano,32,Ailier gauche,36,2581,4,5,7.54,5.74,0.26,0.20,0.46,2.00
Jesus Rodriguez,Real Betis,19,Ailier gauche,21,1143,2,0,2.51,0.36,0.20,0.03,0.23,30.00
Abde Ezzalzouli,Real Betis,23,Ailier gauche,32,2038,2,2,9.59,2.41,0.42,0.11,0.53,12.00
Vinicius Junior,Real Madrid,24,Ailier gauche,30,2267,11,8,12.78,8.64,0.51,0.34,0.85,170.00
Ander Barrenetxea,Real Sociedad,23,Ailier gauche,30,1271,1,3,1.97,2.45,0.14,0.17,0.31,15.00
Sheraldo Becker,Real Sociedad,30,Ailier gauche,22,996,2,1,1.88,1.79,0.17,0.16,0.33,2.50
Darwin Machis,Real Valladolid,32,Ailier gauche,18,621,0,1,1.14,01.08,0.16,0.16,0.32,0.60
Raul Moro,Real Valladolid,22,Ailier gauche,33,2352,4,5,4.52,5.58,0.17,0.21,0.39,7.50
Chidera Ejuke,Sevilla,27,Ailier gauche,25,917,2,1,0.95,1.6,0.09,0.16,0.25,4.00
Ruben Vargas,Sevilla,26,Ailier gauche,11,693,2,1,2.79,01.03,0.36,0.13,0.5,7.00
alex Baena,Villarreal,23,Ailier gauche,32,2639,7,9,7.2,12.61,0.25,0.43,0.68,55.00
Luis Perez,Real Valladolid,30,Aririère droit,30,2548,0,0,0.15,2.61,0.01,0.09,0.1,1.40
Santiago Mourino,Alaves,23,Arrière droit,25,1827,0,1,01.01,0.95,0.05,0.05,0.1,3.00
Nahuel Tenaglia,Alaves,29,Arrière droit,34,2930,2,1,2.74,1.93,0.08,0.06,0.14,3.00
Inigo Lekue,Athletic Club,32,Arrière droit,16,757,0,0,0.14,0.57,0.02,0.07,0.08,2.00
Andoni Gorosabel,Athletic Club,28,Arrière droit,20,1508,0,2,0.29,2.37,0.02,0.14,0.16,5.00
De Marcos,Athletic Club,36,Arrière droit,26,1554,0,4,1.16,2.86,0.07,0.17,0.23,1.50
Nahuel Molina,Atletico Madrid,27,Arrière droit,30,1565,0,3,1,1.93,0.06,0.11,0.17,20.00
Koke,Atletico Madrid,33,Arrière droit,32,1915,1,1,1.5,1.33,0.07,0.06,0.13,8.00
Hector Fort,Barcelona,18,Arrière droit,17,552,0,0,0.27,1.3,0.04,0.21,0.26,10.00
Alejandro Balde,Barcelona,21,Arrière droit,32,2303,0,4,0.55,3.66,0.02,0.14,0.16,60.00
Pau Cubarsi,Barcelona,18,Arrière droit,35,2631,0,3,0.94,1.54,0.03,0.05,0.08,80.00
Jules Kounde,Barcelona,26,Arrière droit,32,2606,2,3,2.74,4.13,0.09,0.14,0.24,65.00
Javier Manquillo,Celta Vigo,31,Arrière droit,10,533,0,0,0,0,0.00,0.00,0,1.00
oscar Mingueza,Celta Vigo,26,Arrière droit,34,2761,4,6,2.16,5.68,0.07,0.19,0.26,20.00
Omar El Hilali,Espanyol,21,Arrière droit,36,3173,0,2,0.03,1.21,0.00,0.03,0.04,15.00
Alvaro Tejero,Espanyol,28,Arrière droit,28,1227,1,4,0.67,3.33,0.05,0.24,0.29,1.80
Allan Nyom,Getafe,37,Arrière droit,20,877,1,2,0.54,0.37,0.06,0.04,0.09,0.30
Arnau Martinez,Girona,22,Arrière droit,32,2631,2,2,2.59,1.92,0.09,0.07,0.15,10.00
Viti Rozada,Las Palmas,27,Arrière droit,29,2005,0,2,0.07,1.42,0.00,0.06,0.07,2.00
Marvin Park,Las Palmas,24,Arrière droit,23,1008,0,0,0.23,1.28,0.02,0.11,0.13,1.20
Adria Alti,Leganes,24,Arrière droit,22,1645,0,0,0.25,0.59,0.01,0.03,0.05,1.50
Pablo Maffeo,Mallorca,27,Arrière droit,30,2385,0,2,0.34,4.4,0.01,0.17,0.18,5.00
Mateu Morey,Mallorca,25,Arrière droit,16,734,0,0,0.44,0.25,0.05,0.03,0.08,0.80
