Nom,Equipe,Age,Poste,apps,min,Valeur marchande(mio),GA,GA90,SOTA,Saves,Save%,CS,CS%
Andriy Lunin,Real Madrid,26,Gardien de but,7,630,18.00,7,1.00,20,13,65.0,4,57.1
Wojciech Szczesny,Barcelona,35,Gardien de but,15,1350,1.00,12,0.80,32,21,65.6,8,53.3
Unai Simon,Athletic Club,28,Gardien de but,21,1890,28.00,14,0.67,59,47,78.0,10,47.6
Jan Oblak,Atletico Madrid,32,Gardien de but,36,3240,20.00,30,0.83,111,86,77.5,15,41.7
alvaro Fernandez,Sevilla,27,Gardien de but,9,744,2.00,16,1.93,34,20,58.8,3,37.5
Thibaut Courtois,Real Madrid,33,Gardien de but,30,2700,20.00,29,0.97,103,77,74.8,11,36.7
Alex Remiro,Real Sociedad,30,Gardien de but,36,3240,18.00,43,1.19,124,86,69.4,13,36.1
Julen Agirrezabala,Athletic Club,24,Gardien de but,14,1212,15.00,10,0.75,32,24,71.9,5,35.7
Dani Cardenas,Rayo Vallecano,28,Gardien de but,6,540,1.80,6,1.00,20,14,70.0,2,33.3
Augusto Batalla,Rayo Vallecano,29,Gardien de but,32,2880,6.00,39,1.22,125,93,73.6,8,25.0
Andre Ferreira,Real Valladolid,29,Gardien de but,6,540,0.70,20,3.33,37,20,54.1,0,0.0
Adrian,Real Betis,38,Gardien de but,19,1710,0.50,27,1.42,76,50,65.8,3,15.8
Ørjan Nyland,Sevilla,34,Gardien de but,30,2676,0.90,39,1.31,108,73,66.7,8,26.7
Rui Silva,Real Betis,31,Gardien de but,15,1350,7.00,18,1.20,52,37,71.2,4,26.7
Inaki Pena,Barcelona,26,Gardien de but,16,1393,8.00,18,1.16,52,35,69.2,4,26.7
David Soria,Getafe,32,Gardien de but,38,3420,3.00,39,01.03,119,89,73.9,9,23.7
Juan Soriano,Leganes,27,Gardien de but,6,540,1.00,7,1.17,26,19,73.1,1,16.7
Leo Roman,Mallorca,24,Gardien de but,7,630,5.00,10,1.43,49,40,81.6,2,28.6
Dominik Greif,Mallorca,28,Gardien de but,31,2790,6.00,34,1.10,117,85,72.6,7,22.6
Sergio Herrera,Osasuna,32,Gardien de but,37,3330,3.00,52,1.41,177,132,74.6,8,21.6
Giorgi Mamardashvili,Valencia,24,Gardien de but,34,3060,30.00,48,1.41,132,91,67.4,8,23.5
Vicente Guaita,Celta Vigo,38,Gardien de but,34,3060,0.70,48,1.41,126,81,64.3,8,23.5
Marc-Andre ter Stegen,Barcelona,33,Gardien de but,8,677,12.00,9,1.20,22,14,63.6,1,12.5
Marko Dmitrovic,Leganes,33,Gardien de but,32,2880,0.80,49,1.53,145,102,71.0,10,31.3
Luiz Junior,Villarreal,24,Gardien de but,17,1455,10.00,18,1.11,65,49,78.5,5,31.3
Paulo Gazzaniga,Girona,33,Gardien de but,36,3198,2.50,51,1.44,136,90,64.0,8,22.2
Antonio Sivera,Alaves,28,Gardien de but,32,2817,6.00,39,1.25,106,75,71.7,9,28.1
Joan Garcia,Espanyol,24,Gardien de but,38,3420,25.00,51,1.34,188,143,75.0,8,21.1
Karl Hein,Real Valladolid,23,Gardien de but,31,2790,3.00,68,2.19,160,96,60.0,5,16.1
Jasper Cillessen,Las Palmas,36,Gardien de but,27,2339,0.80,42,1.62,123,88,69.1,3,11.1
Diego Conde,Villarreal,26,Gardien de but,22,1965,7.50,33,1.51,93,63,67.7,2,9.1
Dinko Horkas,Las Palmas,26,Gardien de but,13,1081,1.20,19,1.58,53,36,66.0,1,9.1
