Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),Accurate passes,Accurate passes %,Key passes,Dribble,Passe moitié adverse,Accurate final third pass,% duels won,total duel won,possesion lost,shot on target,succesful dribbles%,Clearances,Dribbled past,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Moncayola,Osasuna,27,Milieu offensif,32,2144,0,0,1.58,3.29,0.07,0.14,0.2,7.00,701,80.21,34,4,458,222,51.58,98,294,9,36.36,19,29,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Rodriguez,Mallorca,19,Milieu offensif,37,2207,4,7,3.41,4.18,0.14,0.17,0.31,0.80,459,77.66,33,16,346,167,45.83,132,330,10,53.33,25,13,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Campana,Las Palmas,32,Milieu central,25,1208,0,3,0.14,0.89,0.01,0.07,0.08,0.90,691,87.14,14,8,368,145,59.81,64,172,3,50,19,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar Mascarell,Mallorca,32,Milieu défensif,32,1994,1,0,0.86,0.08,0.04,0.00,0.04,0.90,808,84.78,3,10,373,119,51.37,94,180,2,66.67,56,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirian Rodriguez,Las Palmas,29,Milieu offensif,21,1792,0,3,1.69,1.67,0.09,0.08,0.17,1.00,1022,86.83,16,11,512,189,53.96,75,218,9,68.75,20,21,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!
Denis Suarez,Villarreal,31,Milieu offensif,21,583,1,1,1.15,1.69,0.18,0.26,0.44,1.20,216,83.4,15,10,132,81,53.57,30,90,3,66.67,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriol Romeu,Girona,33,Milieu défensif,25,1357,0,0,0.2,0.55,0.01,0.04,0.05,1.20,795,90.86,8,4,405,155,49.66,73,115,1,57.14,20,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Parejo,Villarreal,36,Milieu central,36,2279,3,3,2.64,1.28,0.10,0.05,0.15,1.50,1340,88.98,23,8,726,351,63.68,121,227,4,72.73,36,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerard Gumbau,Rayo Vallecano,30,Milieu défensif,22,824,0,1,1.29,1.19,0.14,0.13,0.27,1.50,304,80.21,17,2,181,84,46.08,47,115,5,50,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Mario Martin,Real Valladolid,21,Milieu défensif,30,1740,0,1,1.67,1.38,0.09,0.07,0.16,1.50,674,85.75,12,19,249,111,51.15,156,201,13,55.88,46,28,,,,,,,,,,,,,,,,,,,,,,,,,,
Randy Nteka,Rayo Vallecano,27,Milieu offensif,24,1151,3,0,3.34,0.76,0.26,0.06,0.32,1.50,144,66.06,9,5,95,58,38.89,77,136,8,38.46,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Munir El Haddadi,Leganes,29,Milieu offensif,25,844,4,0,1.43,0.71,0.15,0.08,0.23,1.50,197,79.12,8,7,135,82,45.33,68,127,9,36.84,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Selim Amallah,Real Valladolid,28,Milieu offensif,24,1405,3,1,2.62,1.33,0.17,0.08,0.25,1.60,307,83.42,13,33,181,98,47.52,96,178,8,55,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Almeida,Valencia,25,Milieu offensif,34,2019,0,4,1.44,3.68,0.06,0.16,0.23,10.00,763,88.62,43,22,539,316,47.08,113,250,5,50,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Javi Puado,Espanyol,27,Milieu central,35,3023,12,4,11.95,2.97,0.36,0.09,0.44,10.00,509,79.53,22,21,301,182,37.8,79,306,24,37.5,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Ceballos,Real Madrid,28,Milieu central,23,1235,0,0,0.31,1.94,0.02,0.14,0.16,10.00,1265,95.11,22,8,739,335,65.32,81,98,3,72.73,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Blanco,Alaves,24,Milieu défensif,35,2755,0,1,0.71,1.74,0.02,0.06,0.08,10.00,997,80.79,15,15,547,242,58.97,276,403,7,66.67,44,51,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Barrenechea,Valencia,24,Milieu défensif,30,2245,1,2,1.26,0.83,0.05,0.03,0.08,10.00,1169,87.04,15,11,573,257,60.98,150,238,3,42.31,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Benat Turrientes,Real Sociedad,23,Milieu central,21,933,0,0,0.34,0.37,0.03,0.04,0.07,10.00,398,92.13,3,13,236,102,50.41,61,87,2,65,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauro Arambarri,Getafe,29,Milieu central,35,2670,10,0,9.48,0.65,0.32,0.02,0.34,12.00,584,74.68,18,18,347,151,51.01,177,319,19,60,43,26,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Valverde,Real Madrid,26,Milieu central,36,3035,6,4,2.51,4.41,0.07,0.13,0.21,130.00,1970,91.12,39,16,1188,555,67.5,108,273,22,61.54,51,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedri,Barcelona,22,Milieu central,37,2941,4,5,2.51,7.81,0.08,0.24,0.32,140.00,2379,89.03,70,40,1718,918,57.82,159,449,11,66.67,12,46,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,Real Betis,29,Milieu offensif,25,1437,8,3,4.73,4.67,0.30,0.29,0.59,15.00,732,84.82,43,21,539,321,58.65,122,304,19,43.75,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Aimar Oroz,Osasuna,23,Milieu offensif,37,3027,5,4,4.51,04.08,0.13,0.12,0.26,15.00,912,83.98,41,49,606,379,48.26,166,366,16,53.85,10,32,,,,,,,,,,,,,,,,,,,,,,,,,,
