Nom,Equipe,Age,Poste,apps,min,goals,assists,xG,xA,xG90,xA90,xG90xA90,Valeur marchande(mio),SHOTS,Dribble,,Note
Arda Güler,Real Madrid,20,Milieu offensif,28,1252,3,4,4,6.17,0.29,0.44,0.73,45.00,39,0.7,,6.86
Brais Mendez,Real Sociedad,28,Milieu offensif,27,1552,3,2,04.05,2.27,0.23,0.13,0.37,22.00,28,1.1,,6.52
Jude Bellingham,Real Madrid,22,Milieu offensif,31,2510,9,8,13.08,4.31,0.47,0.15,0.62,180.00,62,1.3,,7.27
Moi Gomez,Osasuna,31,Milieu offensif,26,730,0,0,0.35,0.89,0.04,0.11,0.15,2.00,,0.2,,6.17
Unai Nunez,Athletic Club,28,Milieu offensif,10,643,0,0,0.49,0.03,0.07,0.00,0.07,3.00,,#N/A,,#N/A
Ivan Sanchez,Real Valladolid,32,Milieu offensif,32,1365,2,1,0.67,2.89,0.04,0.19,0.23,0.60,,0.5,,6.50
oscar Valentin,Rayo Vallecano,30,Milieu offensif,34,1804,0,0,0.75,0.81,0.04,0.04,0.08,2.50,,0.1,,6.40
Denis Suarez,Villarreal,31,Milieu offensif,21,583,1,1,1.15,1.69,0.18,0.26,0.44,1.20,,0.5,,6.30
Mikel Vesga,Athletic Club,32,Milieu offensif,25,977,0,0,1.24,01.04,0.11,0.10,0.21,2.50,,0.2,,6.43
Munir El Haddadi,Leganes,29,Milieu offensif,25,844,4,0,1.43,0.71,0.15,0.08,0.23,1.50,21,0.8,,6.36
Ivan Martin,Girona,26,Milieu offensif,32,2054,1,1,1.43,1.89,0.06,0.08,0.15,6.00,,0.3,,6.35
Andre Almeida,Valencia,25,Milieu offensif,34,2019,0,4,1.44,3.68,0.06,0.16,0.23,10.00,,0.5,,6.57
Jon Moncayola,Osasuna,27,Milieu offensif,32,2144,0,0,1.58,3.29,0.07,0.14,0.2,7.00,,0.7,,6.54
Kirian Rodriguez,Las Palmas,29,Milieu offensif,21,1792,0,3,1.69,1.67,0.09,0.08,0.17,1.00,,1,,6.62
Oihan Sancet,Athletic Club,25,Milieu offensif,29,1645,15,1,10.46,1.86,0.57,0.10,0.67,60.00,50,0.8,,6.82
Chuki,Real Valladolid,21,Milieu offensif,18,720,2,0,2.61,1.4,0.33,0.18,0.5,1.50,,#N/A,,#N/A
Selim Amallah,Real Valladolid,28,Milieu offensif,24,1405,3,1,2.62,1.33,0.17,0.08,0.25,1.60,23,0.9,,6.47
